TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0115,37,5,1220,4782,0,430,2,X,01,2015
1,0115,38,5,1220,744230,0,32193,1,X,01,2015
1,0115,38,5,1220,85459,0,1370,2,X,01,2015
1,0115,39,5,1220,2773501,0,140696,1,X,01,2015
1,0115,39,5,1220,234661,0,13414,2,X,01,2015
1,0115,39,6,1220,133655,0,3712,1,X,01,2015
1,0115,40,5,1220,6119693,0,344616,1,X,01,2015
1,0115,40,5,1220,178279,0,5732,2,X,01,2015
1,0115,41,5,1220,54391,0,995,1,X,01,2015
1,0115,41,5,1220,24811,0,318,2,X,01,2015
1,0115,42,5,1220,10983,0,310,1,X,01,2015
1,0115,42,5,1220,18297,0,1095,2,X,01,2015
1,0115,44,5,1220,744870,0,50764,1,X,01,2015
1,0115,44,5,1220,15906,0,82,2,X,01,2015
1,0115,47,5,1220,359292,0,32473,1,X,01,2015
1,0115,47,5,1220,50432,0,328,2,X,01,2015
1,0115,48,5,1220,2647271,0,221586,1,X,01,2015
1,0115,48,5,1220,50940,0,2649,2,X,01,2015
1,0115,48,6,1220,104709,0,3712,1,X,01,2015
1,0115,49,5,1220,126436,0,8481,1,X,01,2015
1,0115,49,5,1220,3438,0,9,2,X,01,2015
1,0115,52,5,1220,11005,0,935,1,X,01,2015
1,0115,54,5,1220,750676,0,28284,1,X,01,2015
1,0115,55,5,1220,4722,0,340,1,X,01,2015
1,0115,55,5,1220,5494,0,395,2,X,01,2015
1,0115,56,5,1220,326980,0,8920,1,X,01,2015
1,0115,56,5,1220,34400,0,1337,2,X,01,2015
1,0115,57,5,1220,24236,0,895,1,X,01,2015
1,0115,57,5,1220,2753,0,4,2,X,01,2015
1,0115,59,5,1220,186046,0,3697,1,X,01,2015
1,0115,59,5,1220,26944,0,483,2,X,01,2015
1,0115,61,5,1220,3002,0,58,1,X,01,2015
1,0115,61,5,1220,80481,0,3471,2,X,01,2015
1,0115,62,5,1220,12717,0,150,1,X,01,2015
1,0115,62,5,1220,126686,0,4541,2,X,01,2015
1,0115,63,5,1220,66678,0,6291,1,X,01,2015
1,0115,63,5,1220,322382,0,22387,2,X,01,2015
1,0115,68,5,1220,184235,0,9491,1,X,01,2015
1,0115,68,5,1220,31299,0,603,2,X,01,2015
1,0115,69,5,1220,26660,0,3339,1,X,01,2015
1,0115,69,5,1220,9007,0,1128,2,X,01,2015
1,0115,70,5,1220,1541703,0,90608,1,X,01,2015
1,0115,70,5,1220,6494,0,304,2,X,01,2015
1,0115,71,5,1220,16616,0,56,2,X,01,2015
1,0115,72,5,1220,607467,0,62564,1,X,01,2015
1,0115,72,5,1220,56114,0,3334,2,X,01,2015
1,0115,72,6,1220,187820,0,6207,1,X,01,2015
1,0115,73,5,1220,5602527,0,381161,1,X,01,2015
1,0115,73,5,1220,236030,0,17165,2,X,01,2015
1,0115,74,5,1220,60775,0,3671,1,X,01,2015
1,0115,74,5,1220,22745,0,725,2,X,01,2015
1,0115,76,5,1220,1898107,0,64642,1,X,01,2015
1,0115,76,5,1220,3921,0,59,2,X,01,2015
1,0115,79,5,1220,9260,0,219,1,X,01,2015
1,0115,80,5,1220,20275,0,412,1,X,01,2015
1,0115,82,5,1220,339720,0,5817,1,X,01,2015
1,0115,82,5,1220,18094,0,1388,2,X,01,2015
1,0115,83,5,1220,102433,0,5223,1,X,01,2015
1,0115,83,5,1220,71491,0,2794,2,X,01,2015
1,0115,84,5,1220,7735658,0,301308,1,X,01,2015
1,0115,84,5,1220,2558752,0,89070,2,X,01,2015
1,0115,85,5,1220,2661523,0,66757,1,X,01,2015
1,0115,85,5,1220,3183895,0,62190,2,X,01,2015
1,0115,85,6,1220,6663,0,164,2,X,01,2015
1,0115,86,5,1220,35104,0,3776,1,X,01,2015
1,0115,86,5,1220,14348,0,295,2,X,01,2015
1,0115,87,5,1220,3986491,0,89695,1,X,01,2015
1,0115,87,5,1220,444485,0,10264,2,X,01,2015
1,0115,88,5,1220,797304,0,4134,1,X,01,2015
1,0115,89,5,1220,204491,0,10675,1,X,01,2015
1,0115,89,5,1220,40591,0,1629,2,X,01,2015
1,0115,90,5,1220,887642,0,16207,1,X,01,2015
1,0115,90,5,1220,945326,0,16932,2,X,01,2015
1,0115,91,5,1220,7998,0,123,2,X,01,2015
1,0115,92,5,1220,4155,0,65,2,X,01,2015
1,0115,93,5,1220,19159,0,1014,1,X,01,2015
1,0115,93,5,1220,6885,0,350,2,X,01,2015
1,0115,94,5,1220,1623534,0,57993,1,X,01,2015
1,0115,94,5,1220,402826,0,17201,2,X,01,2015
1,0115,95,5,1220,325052,0,10849,1,X,01,2015
1,0115,95,5,1220,253570,0,10709,2,X,01,2015
1,0115,96,5,1220,129993,0,3534,1,X,01,2015
1,0115,96,5,1220,67460,0,1039,2,X,01,2015
1,0115,97,5,1220,6803,0,133,1,X,01,2015
1,0118,10,5,1220,75438,0,1645,1,X,01,2015
1,0118,48,5,1220,19848,0,2062,1,X,01,2015
